,name,category_groups_list,country_code,primary_role,homepage_url
41356,Who-Sells-it.com,"Content and Publishing,Internet Services,Media and Entertainment,Software",CHE,company,http://www.who-sells-it.com
41696,Minicom Digital Signage,"Hardware,Software",CHE,company,http://www.minicomdigitalsignage.com
41724,Homeworker24 GmbH,"Education,Internet Services",CHE,company,http://www.homeworker.ch
41749,SolvAxis,"Professional Services,Software",CHE,company,http://www.solvaxis.com
41826,Actelion Pharmaceuticals,"Biotechnology,Health Care,Science and Engineering",CHE,company,http://www.actelion.com
42101,ShopAlive,"Commerce and Shopping,Data and Analytics,Hardware,Internet Services,Mobile,Navigation and Mapping,Platforms,Sales and Marketing,Software",CHE,company,http://www.shopalive.com
42284,IRP GmbH,"Gaming,Software",CHE,company,
43029,Scandit,"Apps,Commerce and Shopping,Data and Analytics,Hardware,Professional Services,Software",CHE,company,http://www.scandit.com
43384,The Faction Collective,"Commerce and Shopping,Manufacturing,Sports",CHE,company,http://www.factionskis.com/en
43547,Finnburg & Switzer,"Commerce and Shopping,Energy,Financial Services,Lending and Investments",CHE,company,http://www.finnburgswitzer.com
43593,INES,"Information Technology,Sales and Marketing,Software",CHE,company,http://www.inescrm.com
43880,Givaudan,"Consumer Goods,Manufacturing",CHE,company,http://www.givaudan.com
44078,Searchbox,"Data and Analytics,Information Technology,Internet Services,Software",CHE,company,http://www.searchbox.com
44088,Raskin,"Design,Information Technology,Internet Services,Software",CHE,company,http://www.raskinformac.com
44090,Urturn,"Information Technology,Internet Services,Media and Entertainment,Messaging and Telecommunications",CHE,company,http://www.urturn.com
44146,connex.io,"Information Technology,Mobile,Sales and Marketing,Software",CHE,company,http://connex.io
44269,Kuros Biosciences,"Biotechnology,Health Care,Science and Engineering",CHE,company,http://www.kuros.ch
44270,Reference Capital (formerly Genevest),"Financial Services,Lending and Investments",CHE,company,https://www.referencecap.com/
44367,Idexen,"Consumer Electronics,Data and Analytics,Hardware,Internet Services,Professional Services",CHE,company,http://www.idexen.com
44427,Covalys Biosciences,"Biotechnology,Science and Engineering",CHE,company,
45305,Swissbet,"Gaming,Software,Travel and Tourism",CHE,company,http://swissbet.com/
45407,Okairos,"Biotechnology,Health Care,Science and Engineering",CHE,company,http://www.okairos.com
45410,zahnarztzentrum.ch,Health Care,CHE,company,http://zahnarztzentrum.ch
45576,Store Locator,"Commerce and Shopping,Data and Analytics,Internet Services,Navigation and Mapping",CHE,company,http://www.store-locator.com
45671,Yazino,"Apps,Gaming,Mobile,Platforms,Software",CHE,company,http://yazino.com
45724,TelcoMobile International,"Community and Lifestyle,Content and Publishing,Information Technology,Internet Services,Media and Entertainment,Messaging and Telecommunications,Mobile,Software,Video",CHE,company,http://www.telcomobile.com
46247,You.Do,"Community and Lifestyle,Education,Internet Services,Media and Entertainment",CHE,company,http://you.do
46562,Swisscom,"Hardware,Information Technology",CHE,company,https://www.swisscom.ch
46599,Procab Studio,"Advertising,Commerce and Shopping,Design,Internet Services,Media and Entertainment,Mobile,Professional Services,Sales and Marketing,Software",CHE,company,http://www.procab.com
46798,Phytoceuticals,"Biotechnology,Science and Engineering",CHE,company,http://www.phytoceuticals.ch
46934,joiz Group,"Advertising,Content and Publishing,Internet Services,Media and Entertainment,Mobile,Sales and Marketing,Software,Video",CHE,company,http://www.joiz.com
46960,Symetis,"Biotechnology,Health Care,Science and Engineering",CHE,company,http://www.symetis.com
47004,TouchWeb,"Data and Analytics,Information Technology,Internet Services,Media and Entertainment,Messaging and Telecommunications,Navigation and Mapping",CHE,company,http://www.touchwebag.com
47037,eBay Austria,"Commerce and Shopping,Internet Services",CHE,company,http://www.ebay.at
47098,iTaste,Food and Beverage,CHE,company,http://www.itaste.com
47597,PregLem,"Biotechnology,Health Care,Science and Engineering",CHE,company,http://www.preglem.com
47816,Attolight,"Health Care,Science and Engineering",CHE,company,http://www.attolight.com
48091,Social Fabrics,"Community and Lifestyle,Information Technology,Internet Services,Manufacturing,Travel and Tourism",CHE,company,http://www.socialfabric.ch
48101,TICKnTALK,"Apps,Internet Services,Software",CHE,company,http://www.tickntalk.com
48256,City Media foundation,"Internet Services,Media and Entertainment,Software,Video",CHE,company,http://www.citymediafoundation.org
48346,Mind-NRG,"Biotechnology,Health Care,Science and Engineering",CHE,company,http://www.mind-nrg.com/
48497,Equipe,"Advertising,Professional Services,Sales and Marketing",CHE,company,https://www.equipe.agency
48509,Icomasoft,"Information Technology,Software",CHE,company,http://www.icomasoft.com
48809,KOALA.CH,"Commerce and Shopping,Hardware,Sales and Marketing,Software",CHE,company,http://www.koala.ch
48824,Chiquita Brands International,Food and Beverage,CHE,company,http://www.chiquita.com
48860,InSphero,"Biotechnology,Health Care,Science and Engineering",CHE,company,https://insphero.com/
48987,Sevenice Switzerland,"Advertising,Mobile,Platforms,Sales and Marketing,Software",CHE,company,http://www.sevenice.com
49022,HILITE-Bikes,Transportation,CHE,company,http://www.hilite-bikes.com
49143,Comvation,"Design,Internet Services,Media and Entertainment,Other,Sales and Marketing,Software",CHE,company,http://www.comvation.com
49352,schnapsfiguren.com,Commerce and Shopping,CHE,company,http://www.schnapsfiguren.com
49441,Delenex Therapeutics,"Biotechnology,Health Care,Science and Engineering",CHE,company,http://www.delenex.com
49475,CERN,"Professional Services,Science and Engineering",CHE,company,http://www.cern.ch
50010,cf/x Ltd.,"Content and Publishing,Media and Entertainment,Software",CHE,company,http://www.cfxsoftware.com
50128,Akoden,"Information Technology,Software",CHE,company,http://www.akoden.com
50554,Ecosecurities,Professional Services,CHE,company,http://www.ecosecurities.com
51000,Temenos,"Apps,Financial Services,Lending and Investments,Software",CHE,company,http://www.temenos.com
51186,Liip,"Apps,Education,Internet Services,Mobile,Software",CHE,company,http://www.liip.ch
51977,Neurimmune Holding,"Biotechnology,Health Care,Information Technology,Science and Engineering",CHE,company,http://www.neurimmune.com
52094,c-crowd,"Financial Services,Internet Services",CHE,company,http://www.c-crowd.com
52621,Snoopal,"Content and Publishing,Internet Services,Media and Entertainment,Software",CHE,company,http://www.snoopal.com
52983,Lemoptix,"Clothing and Apparel,Consumer Goods,Design,Real Estate",CHE,company,http://www.lemoptix.com
53033,VAXIMM,"Biotechnology,Health Care,Science and Engineering,Software",CHE,company,http://www.vaximm.com
53795,BlankPage,"Content and Publishing,Internet Services,Media and Entertainment,Mobile,Privacy and Security,Software,Transportation",CHE,company,http://www.blankpage.ch
54257,Lobnek Wealth Management,"Financial Services,Information Technology",CHE,company,http://www.lobnek.com
54703,Joinbox,"Information Technology,Internet Services,Media and Entertainment,Messaging and Telecommunications,Sales and Marketing,Software",CHE,company,http://www.joinbox.com
54786,RapidShare Entertainment,Media and Entertainment,CHE,company,http://www.rapidtainment.com/
54805,Trifork,"Information Technology,Other,Software",CHE,company,http://www.trifork.com
54812,Brandeer Sports,,CHE,company,http://www.brandeer.ch
54898,Golden Frog,"Hardware,Information Technology,Internet Services,Privacy and Security,Software",CHE,company,http://www.goldenfrog.com
54958,MCI Group Holding,"Events,Media and Entertainment,Other,Professional Services",CHE,company,http://www.mci-group.com
55060,atizo,"Information Technology,Other",CHE,company,https://www.atizo.com
55061,yutongo Ltd.,"Education,Information Technology,Manufacturing,Software",CHE,company,http://www.yutongo.com
55953,Toried,"Commerce and Shopping,Content and Publishing,Internet Services,Media and Entertainment,Sales and Marketing",CHE,company,http://www.toried.com
56339,Koubachi,"Mobile,Platforms,Software",CHE,company,http://www.koubachi.com
56373,Bitforge,"Apps,Hardware,Software",CHE,company,http://www.bitforge.ch
56779,CY.TALK SWITZERLAND SA,"Hardware,Information Technology,Internet Services,Messaging and Telecommunications,Other",CHE,company,http://www.cytalk.com
